id,date,username,text,geo,valor,fecha
1244689337444225025,2020-03-30 18:13:57+00:00,Mhurtadomarja,"Aprovéchate. Hasta el 5 de Abril, mi #novela ""El cementerio de los suicidas"" de @esferalibros a 1,99€ en formato digital. #queleer Casa del Libro: https://www.casadellibro.com/ebook-el-cementerio-de-los-suicidas-ebook/9788491645870/9475900 El Corte Inglés: https://www.elcorteingles.es/ebooks/tagus-9788491645870-el-cementerio-de-los-suicidas-ebook/ Fnac/Kobo: https://www.kobo.com/es/es/ebook/el-cementerio-de-los-suicidas Amazon: https://www.amazon.es/cementerio-suicidas-Manuel-Hurtado-Marjalizo-ebook/dp/B07PYX1LFV",,0,2020/03/30
1244688534604263426,2020-03-30 18:10:46+00:00,LordPineapple98,Si voy al súper de El Corte Inglés a comprar artículos de papelería estoy haciendo algo ilegal? Es que necesito cosas,,0,2020/03/30
1244688452177793024,2020-03-30 18:10:26+00:00,Serrannitto,Vente a mi pueblo a estrenar el corte inglés niña,,0,2020/03/30
1244687604064440320,2020-03-30 18:07:04+00:00,diegoperal85,"@elcorteinglesac Desde el día 20 de Marzo esperando mi devolución de un pedido que cancele antes de que se enviara. Para cobrar bien rápido que somos, ya si eso se devolverá cuando volvamos a la normalidad. ¡Ojo el corte ingles!",,0,2020/03/30
1244687315362070528,2020-03-30 18:05:55+00:00,BettaEG,"Con las donaciones de Ortega y el Corte Inglés tiene suficiente. Que nos las manden a Catalunya o a otra comunidad, por ejemplo. ",,0,2020/03/30
1244687166531407879,2020-03-30 18:05:20+00:00,CesarRomGa,La Alhambra es la cerveza más parecida a la Estrella Galicia. Hace unos años la cerveza de marca blanca de El Corte Inglés. Una delicia barata,,0,2020/03/30
1244686861215453187,2020-03-30 18:04:07+00:00,Vidic10_, Ah el chocolate ese el corte inglés ya no lo tiene o por lo menos no lo veo. Con lo bueno que está mecagoenlaputa ,,0,2020/03/30
1244685741659127808,2020-03-30 17:59:40+00:00,RamnSenra,Ábalos estará firmando palillos de dientes mañana a las 12.00h en el Corte Inglés de Castellana...,,0,2020/03/30
1244684379177263108,2020-03-30 17:54:15+00:00,demonio7707,Tarjeta regalo de él corte inglés te va bien? ,,0,2020/03/30
1244683887994974210,2020-03-30 17:52:18+00:00,RobertoSuare10,Que grandes....suerte tuve de verlo con el maxi turbo en Gran Canaria en el rallie el.corte inglés.....ya se sabia que sería leyenda....sencillamente increibles,,0,2020/03/30
1244682246583463936,2020-03-30 17:45:47+00:00,murciaactualida,Ámbito Cultural de El Corte Inglés ofrece online toda su programación para disfrutar desde casa ,,1,2020/03/30
1244682206896893954,2020-03-30 17:45:37+00:00,ctactualidad,Ámbito Cultural de El Corte Inglés ofrece online toda su programación para disfrutar desde casa http://www.cartagenaactualidad.com/ambito-cultural-de-el-corte-ingles-ofrece-online-toda-su-programacion-para-disfrutar-desde-casa/,,1,2020/03/30
1244680937448882178,2020-03-30 17:40:35+00:00,alegria_hector,"Tagus sin dudarlo, en el corte Ingles, seguramente online te lo manden",,0,2020/03/30
1244679573440167938,2020-03-30 17:35:09+00:00,COMOMOLO8,"Porque el Corte Inglés es inglés,..así cualquiera.",,0,2020/03/30
1244678919367864320,2020-03-30 17:32:34+00:00,aledarf63,El corte inglés tiene el erte aprobado desde el 14 de marzo y ya hoy cobraron,,0,2020/03/30
1244678383751045122,2020-03-30 17:30:26+00:00,amand_venom,Ya es PrimaVirus en el Corte Inglés,,0,2020/03/30
1244677971811676167,2020-03-30 17:28:48+00:00,Treintanyerold,Me acuerdo que estaba en primero de carrera en Granada y me fui a El Corte Inglés para ver una presentacion que hacían del Windows 95. No entendía el concepto escritorio ni que no tuviera prompt ,,0,2020/03/30
1244677658933223425,2020-03-30 17:27:33+00:00,BombardinoCafe,"Taurus Mycook One: un robot de cocina de alta gama a precio low cost, ahora a mitad de precio en Amazon y El Corte Inglés http://dlvr.it/RSrbTF",,0,2020/03/30
1244676365468696581,2020-03-30 17:22:25+00:00,yulealani,"m encantan los comentarios en contra d los empresarios, como si todos fueran el corte inglés, pues nada 3 meses en casa y luego comemos mierda, hay vida despues del virus, y ya lo dijeron otros paises, la medida mas efectiva es la prevención, sin economía tampoco hay sistema",,0,2020/03/30
1244674794152505344,2020-03-30 17:16:10+00:00,leonoticias_,CULTURA Ámbito Cultural de El Corte Inglés ofrece online toda su programación para disfrutar desde casa ,,1,2020/03/30
1244674667010498560,2020-03-30 17:15:40+00:00,A_galega_,"La doble cara de grandes empresas: donaciones mill a la sanidad pero menos contribución fiscal qen 2007. Grandes cías como Inditex, El Corte Inglés o Mango ya han anunciado donaciones pero aportan un porcentaje muy pequeño d beneficios al pgo de impuestos. ",,0,2020/03/30
1244674113807044609,2020-03-30 17:13:28+00:00,elperiodicoaqui,Ámbito Cultural de El Corte Inglés ofrece online toda su programación para disfrutar desde casa https://www.elperiodicodeaqui.com/epda-noticias/ambito-cultural-de-el-corte-ingles-ofrece-online-toda-su-programacion-para-disfrutar-desde-casa/206989,,1,2020/03/30
1244673901180923907,2020-03-30 17:12:37+00:00,sharkirenita,Yo he picado en el corte ingles... Pero me ha llegado la consola y el juego aún no ,,0,2020/03/30
1244673707244732418,2020-03-30 17:11:51+00:00,csinformacion,El Corte Inglés ofrece de forma gratuita su Ámbito Cultural para obligar “a quedarse en casa” http://www.castelloninformacion.com/el-corte-ingles-ambito-cultural-gratuito-confinamiento/,,1,2020/03/30
