date,fecha,geo,id,text,username,valor
2020-03-30 18:05:55+00:00,2020/03/30,,1.2446873153620705e+18,"Con las donaciones de Ortega y el Corte Inglés tiene suficiente. Que nos las manden a Catalunya o a otra comunidad, por ejemplo. ",BettaEG,0.0
2020-03-30 18:05:20+00:00,2020/03/30,,1.244687166531408e+18,La Alhambra es la cerveza más parecida a la Estrella Galicia. Hace unos años la cerveza de marca blanca de El Corte Inglés. Una delicia barata,CesarRomGa,0.0
2020-03-30 18:04:07+00:00,2020/03/30,,1.2446868612154532e+18, Ah el chocolate ese el corte inglés ya no lo tiene o por lo menos no lo veo. Con lo bueno que está mecagoenlaputa ,Vidic10_,0.0
2020-03-30 17:59:40+00:00,2020/03/30,,1.2446857416591278e+18,Ábalos estará firmando palillos de dientes mañana a las 12.00h en el Corte Inglés de Castellana...,RamnSenra,0.0
2020-03-30 17:54:15+00:00,2020/03/30,,1.244684379177263e+18,Tarjeta regalo de él corte inglés te va bien? ,demonio7707,0.0
2020-03-30 17:52:18+00:00,2020/03/30,,1.2446838879949742e+18,Que grandes....suerte tuve de verlo con el maxi turbo en Gran Canaria en el rallie el.corte inglés.....ya se sabia que sería leyenda....sencillamente increibles,RobertoSuare10,0.0
2020-03-30 17:45:47+00:00,2020/03/30,,1.244682246583464e+18,Ámbito Cultural de El Corte Inglés ofrece online toda su programación para disfrutar desde casa ,murciaactualida,1.0
2020-03-30 17:45:37+00:00,2020/03/30,,1.244682206896894e+18,Ámbito Cultural de El Corte Inglés ofrece online toda su programación para disfrutar desde casa http://www.cartagenaactualidad.com/ambito-cultural-de-el-corte-ingles-ofrece-online-toda-su-programacion-para-disfrutar-desde-casa/,ctactualidad,1.0
2020-03-30 17:40:35+00:00,2020/03/30,,1.2446809374488822e+18,"Tagus sin dudarlo, en el corte Ingles, seguramente online te lo manden",alegria_hector,0.0
2020-03-30 17:35:09+00:00,2020/03/30,,1.244679573440168e+18,"Porque el Corte Inglés es inglés,..así cualquiera.",COMOMOLO8,0.0
2020-03-30 17:32:34+00:00,2020/03/30,,1.2446789193678643e+18,El corte inglés tiene el erte aprobado desde el 14 de marzo y ya hoy cobraron,aledarf63,0.0
2020-03-30 17:30:26+00:00,2020/03/30,,1.244678383751045e+18,Ya es PrimaVirus en el Corte Inglés,amand_venom,0.0
2020-03-30 17:28:48+00:00,2020/03/30,,1.2446779718116762e+18,Me acuerdo que estaba en primero de carrera en Granada y me fui a El Corte Inglés para ver una presentacion que hacían del Windows 95. No entendía el concepto escritorio ni que no tuviera prompt ,Treintanyerold,0.0
